product_code,unit_of_order_code,product_name(do not edit),quantity_type(do not edit),product_tag,extra_product_details,tax_applicable(Yes or No),availability(available or limited or unavailable or hidden),cost,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,product_id(do not edit),quantity_type_id(do not edit)
'H0738','',Beetroot,Kg,'L6','','No','available',1.60,3.15,3.45,3.80,3.45,3.45,2.90,3.80,2.70,70773e8a-623f-4542-864f-5c25f7750720,94ab9910-b3ea-495c-a740-198b0364a92f
'M1502','',Beetroot (Julienne),Bag (2.5kg),'J4','48 hours notice required for this product','No','available',14.38,18.00,19.00,21.60,19.00,19.00,18.00,21.60,18.00,21d39a80-15f7-4c01-8e86-6e308e9804f9,33575ae6-8aad-4c14-9921-5df547c888bf
'O1900','',Beetroot - Baby Candy,Bunch,'K8','','No','limited',3.00,4.40,4.80,5.20,4.80,4.80,4.20,5.20,4.20,e6a1807c-a07b-4d81-8499-7a18043d9bbc,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'O1901','',Beetroot - Baby Golden,Bunch,'K8','','No','limited',3.00,4.40,4.80,5.20,4.80,4.80,4.20,5.20,4.20,8fb75b6c-cb60-4912-a6fe-db9b42209246,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'M1503','',Beetroot - Baby Ready To Use (250g),Box (24),'J9','','No','available',48.00,58.00,60.00,69.60,60.00,60.00,57.00,69.60,57.00,2280e901-6ec0-44f3-911d-e3ee03e2ba38,b286c8bb-7630-441c-8d08-7ecafa14f617
'M1504','',Beetroot - Baby Ready To Use (250g),Pkt,'J9','','No','available',2.00,2.80,3.00,3.36,3.00,3.00,2.80,3.36,2.80,2280e901-6ec0-44f3-911d-e3ee03e2ba38,01c59a1d-4652-4df5-a9e5-b79b96bda82d
'O1902','',Beetroot - Baby Red,Bunch,'K8','','No','limited',3.00,4.20,4.50,4.80,4.50,4.50,4.00,4.80,4.00,2499b707-6a42-462a-80ae-71f5f0397f05,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'O1903','',Beetroot - Baby White,Bunch,'K8','','No','unavailable',3.00,4.40,4.80,5.20,4.80,4.80,4.20,5.20,4.20,d38ba94c-7459-4162-b508-0d2addad4213,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'H0734','',Beetroot - Candy,Kg,'K8','','No','available',1.10,3.00,3.35,3.70,3.35,3.35,2.80,3.70,2.80,4aeb6673-c8a6-4b5b-85d7-343e5e1652b7,94ab9910-b3ea-495c-a740-198b0364a92f
'H0736','',Beetroot - Golden,Kg,'L3','','No','available',2.50,4.20,4.70,5.50,4.70,4.70,4.00,5.50,4.50,eba861f4-dd43-4b89-8e27-a1a01f5d481d,94ab9910-b3ea-495c-a740-198b0364a92f
'O1904','',Beetroot - Large 'Tops On',Bunch,'K8','','No','available',6.00,9.00,9.50,10.00,9.50,9.50,8.50,10.00,8.50,8bb08036-8a43-404a-8344-bf6cf7a4d9ab,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'H0739','',Beetroot - White,Kg,'L3','','No','unavailable',3.00,5.50,5.80,6.60,5.80,5.80,5.50,6.60,5.50,fbd83c72-c8d6-412f-afdf-ddb9b8a5d602,94ab9910-b3ea-495c-a740-198b0364a92f
'M1505','',Beetroot Grated,Bag (2.5kg),'J4','','No','available',14.38,18.00,19.00,21.60,19.00,19.00,18.00,21.60,18.00,412f4d3d-a0bf-48c7-bfc4-af7bb4eefbc5,33575ae6-8aad-4c14-9921-5df547c888bf
